2673; 2627; 297; 1021; 2821; 3122; 2805; 2668; 2714; 3114
2588; 2192; 306; 429; 2732; 2400; 2694; 2234; 2639; 2417
2524; 1049; 302; 1151; 2685; 1691; 2664; 1330; 2588; 1695
3526; 1; 760; 1744; 3954; 941; 4033; 661; 3915; 932
3303; 1838; 144; 162; 3369; 1921; 3412; 1899; 3360; 1868
3460; 1694; 105; 262; 3508; 1816; 3539; 1777; 3500; 1759
3120; 1289; 367; 634; 3277; 1648; 3356; 1460; 3246; 1630
2822; 1926; 433; 511; 3023; 2197; 3137; 2018; 2958; 2179
2455; 2666; 149; 236; 2521; 2802; 2503; 2715; 2490; 2811
2490; 2902; 223; 746; 2595; 3274; 2573; 3108; 2543; 3287
2211; 3173; 363; 336; 2381; 3344; 2302; 3283; 2372; 3357
1433; 1771; 433; 1874; 1638; 2749; 1568; 2286; 1542; 2763
1809; 3121; 328; 315; 1927; 3256; 1997; 3156; 1861; 3186
1904; 1071; 1039; 2038; 2495; 2201; 2594; 1984; 2436; 2182
779; 1268; 667; 1074; 1118; 1788; 988; 1601; 1011; 1918
395; 850; 723; 966; 705; 1364; 575; 1115; 609; 1409
293; 330; 249; 537; 423; 618; 389; 420; 355; 635
799; 1; 1494; 2606; 1552; 1351; 1374; 1027; 1513; 1377
865; 48; 192; 1467; 951; 742; 957; 485; 891; 736
1014; 1067; 150; 196; 1090; 1169; 1114; 1121; 1068; 1157
1; 745; 216; 344; 86; 916; 33; 862; 62; 962
166; 953; 166; 193; 253; 1035; 206; 1002; 233; 1082
313; 982; 146; 189; 377; 1071; 333; 1058; 368; 1146
601; 909; 78; 82; 639; 949; 650; 929; 625; 933
625; 756; 53; 146; 654; 831; 652; 785; 639; 831
632; 709; 60; 49; 661; 736; 665; 720; 645; 734
137; 1; 734; 743; 519; 316; 342; 141; 488; 356
2367; 1445; 230; 587; 2502; 1713; 2451; 1551; 2472; 1724
2164; 1056; 274; 401; 2276; 1242; 2215; 1113; 2245; 1261
2095; 688; 141; 386; 2169; 875; 2145; 755; 2141; 882
2103; 1; 68; 228; 2137; 113; 2137; 35; 2116; 111
2080; 225; 80; 76; 2121; 264; 2126; 236; 2094; 261
2081; 302; 88; 386; 2120; 504; 2115; 384; 2093; 507
2781; 1151; 566; 653; 3066; 1484; 3153; 1379; 3040; 1466
3314; 894; 178; 252; 3393; 1020; 3419; 959; 3373; 1011
3432; 578; 250; 318; 3562; 744; 3608; 655; 3543; 733
3623; 1; 181; 579; 3704; 295; 3728; 162; 3684; 290
