1; 1794; 1763; 1854; 758; 2875; 312; 2380; 650; 2982
2499; 2982; 272; 666; 2615; 3345; 2607; 3164; 2540; 3370
1972; 2496; 618; 553; 2264; 2772; 2090; 2635; 2235; 2811
2810; 1203; 468; 1447; 3029; 2017; 3088; 1676; 2956; 1998
3204; 2952; 417; 260; 3411; 3071; 3517; 3053; 3401; 3015
2921; 3033; 286; 192; 3060; 3129; 3141; 3126; 3055; 3073
2702; 3019; 220; 207; 2797; 3118; 2866; 3141; 2841; 3034
3837; 2823; 198; 229; 3928; 2923; 3992; 2876; 3898; 2876
3622; 2903; 218; 185; 3736; 2994; 3807; 2974; 3726; 2950
4049; 2681; 151; 269; 4093; 2819; 4150; 2769; 4059; 2775
2644; 2646; 323; 353; 2822; 2808; 2862; 2700; 2765; 2781
5209; 2384; 263; 588; 5369; 2688; 5424; 2565; 5338; 2674
5068; 2965; 236; 519; 5174; 3214; 5222; 3054; 5130; 3204
