3462; 1231; 240; 392; 3581; 1446; 3621; 1316; 3549; 1435
3056; 1623; 531; 316; 3316; 1777; 3448; 1676; 3296; 1748
2801; 1876; 300; 332; 2964; 2057; 3027; 1985; 2944; 2026
2747; 1925; 280; 262; 2879; 2068; 2946; 2003; 2864; 2050
2509; 2116; 276; 242; 2644; 2235; 2722; 2192; 2628; 2194
1981; 2270; 533; 464; 2234; 2512; 2362; 2414; 2214; 2483
2012; 2503; 184; 222; 2099; 2611; 2140; 2543; 2070; 2591
2113; 2268; 83; 231; 2151; 2389; 2149; 2297; 2117; 2391
2115; 1922; 195; 347; 2211; 2088; 2238; 1992; 2182; 2072
1821; 2616; 161; 248; 1900; 2732; 1954; 2694; 1885; 2682
1602; 2721; 219; 321; 1713; 2875; 1790; 2799; 1692; 2840
1476; 2921; 130; 198; 1535; 3025; 1589; 2989; 1522; 2989
1348; 3010; 133; 163; 1402; 3099; 1452; 3075; 1392; 3060
937; 3077; 416; 216; 1130; 3187; 1266; 3145; 1125; 3150
732; 3193; 208; 161; 833; 3270; 903; 3250; 827; 3233
386; 3265; 346; 253; 550; 3386; 639; 3343; 539; 3348
230; 3411; 161; 186; 306; 3501; 359; 3469; 296; 3469
43; 3513; 186; 135; 160; 3594; 203; 3569; 143; 3576
911; 2962; 272; 433; 1009; 3171; 1071; 3052; 984; 3147
405; 3220; 506; 428; 691; 3485; 848; 3381; 666; 3447
629; 2827; 545; 725; 904; 3166; 1009; 2997; 866; 3122
1053; 2408; 257; 423; 1164; 2612; 1232; 2463; 1137; 2598
1205; 1225; 667; 1188; 1574; 1831; 1669; 1644; 1550; 1814
1730; 946; 125; 281; 1784; 1085; 1774; 987; 1760; 1089
1093; 2904; 193; 166; 1171; 2998; 1232; 2975; 1164; 2948
1290; 2934; 559; 159; 1506; 2981; 1669; 3005; 1517; 2951
1114; 2484; 349; 349; 1303; 2646; 1385; 2565; 1286; 2629
1473; 2343; 237; 190; 1581; 2424; 1652; 2387; 1574; 2400
1713; 2258; 244; 132; 1835; 2312; 1903; 2278; 1825; 2295
1232; 2556; 288; 213; 1381; 2654; 1452; 2617; 1374; 2630
1523; 2441; 298; 190; 1655; 2535; 1747; 2502; 1645; 2502
1825; 2407; 210; 105; 1940; 2447; 1994; 2437; 1933; 2424
2041; 2316; 792; 146; 2380; 2388; 2529; 2364; 2377; 2357
2835; 2296; 577; 87; 3102; 2334; 3244; 2334; 3102; 2305
3409; 2264; 122; 118; 3468; 2318; 3501; 2304; 3463; 2290
3534; 2163; 248; 182; 3659; 2245; 3706; 2219; 3644; 2215
3307; 2061; 490; 234; 3548; 2186; 3623; 2142; 3540; 2166
2758; 2439; 510; 217; 2971; 2533; 3083; 2574; 2975; 2517
2522; 2416; 236; 75; 2644; 2444; 2708; 2458; 2648; 2428
27; 1; 113; 410; 76; 200; 104; 41; 52; 191
1; 411; 112; 300; 30; 506; 55; 451; 9; 476
77; 1790; 217; 502; 201; 2018; 232; 1852; 170; 1997
206; 1465; 93; 331; 253; 1625; 253; 1521; 222; 1615
222; 777; 207; 688; 315; 1108; 346; 911; 279; 1092
346; 534; 166; 243; 429; 663; 449; 606; 403; 642
