2423; 2509; 694; 1112; 2773; 3160; 2878; 2951; 2706; 3117
2804; 2903; 278; 296; 2930; 3047; 3021; 3083; 2999; 2964
3028; 2166; 520; 942; 3334; 2697; 3407; 2531; 3291; 2675
3407; 1658; 343; 502; 3594; 1917; 3648; 1798; 3555; 1903
3619; 1474; 141; 188; 3692; 1567; 3684; 1524; 3641; 1575
1855; 2571; 819; 949; 2320; 3018; 2407; 2859; 2259; 2982
1700; 3416; 260; 232; 1830; 3542; 1909; 3488; 1794; 3481
1382; 2173; 361; 1475; 1547; 2991; 1571; 2475; 1441; 2988
2426; 3050; 192; 252; 2521; 3164; 2468; 3108; 2497; 3184
2177; 2599; 296; 448; 2319; 2834; 2264; 2733; 2286; 2846
2190; 1928; 657; 1170; 2525; 2596; 2608; 2353; 2442; 2549
1838; 2059; 409; 539; 2031; 2373; 1936; 2236; 1996; 2394
1523; 1659; 276; 359; 1677; 1863; 1626; 1783; 1661; 1879
1730; 2007; 173; 110; 1807; 2047; 1772; 2010; 1773; 2073
1443; 1346; 157; 314; 1536; 1502; 1495; 1408; 1508; 1511
1163; 835; 338; 517; 1323; 1115; 1271; 1014; 1305; 1125
951; 319; 261; 512; 1085; 569; 1044; 476; 1067; 580
3585; 1283; 122; 209; 3664; 1384; 3677; 1330; 3633; 1380
3585; 964; 127; 313; 3643; 1140; 3634; 1069; 3620; 1144
424; 1132; 723; 870; 788; 1643; 626; 1419; 708; 1701
514; 548; 1124; 1610; 1041; 1379; 932; 1166; 998; 1397
476; 370; 197; 172; 570; 442; 551; 380; 498; 458
317; 1; 300; 366; 464; 180; 408; 80; 402; 214
533; 545; 184; 643; 636; 882; 639; 726; 576; 879
278; 1060; 164; 292; 354; 1194; 300; 1134; 324; 1235
1; 588; 312; 573; 140; 887; 70; 757; 107; 912
1487; 2176; 748; 950; 1868; 2621; 1746; 2424; 1817; 2663
2677; 2307; 381; 278; 2866; 2465; 2944; 2424; 2848; 2434
3059; 2060; 396; 367; 3251; 2254; 3315; 2206; 3234; 2219
1166; 1011; 412; 493; 1378; 1292; 1428; 1158; 1318; 1263
1106; 1465; 524; 700; 1339; 1850; 1297; 1680; 1242; 1882
1390; 620; 265; 388; 1538; 808; 1567; 620; 1469; 788
1493; 1; 249; 612; 1621; 310; 1641; 54; 1543; 303
1150; 1; 375; 619; 1346; 290; 1233; 37; 1296; 314
1132; 1848; 217; 288; 1245; 1980; 1155; 1952; 1208; 2099
2164; 1197; 3308; 341; 3467; 1407; 3559; 1400; 3461; 1348
1564; 1411; 596; 135; 1862; 1483; 1990; 1490; 1857; 1436
1480; 1; 675; 1195; 1820; 596; 1754; 467; 1766; 616
