120; 1888; 328; 1760; 292; 2772; 277; 2524; 227; 2787
1747; 2060; 298; 449; 1883; 2272; 1853; 2105; 1802; 2292
1561; 2366; 233; 176; 1677; 2444; 1626; 2412; 1665; 2471
1368; 2119; 266; 249; 1501; 2261; 1469; 2227; 1478; 2283
1987; 2656; 448; 492; 2238; 2891; 2105; 2764; 2188; 2968
1798; 2498; 365; 170; 1975; 2594; 1941; 2541; 1863; 2615
2358; 2717; 334; 690; 2537; 3072; 2562; 2902; 2408; 3029
1959; 1889; 235; 442; 2058; 2102; 2101; 1987; 2027; 2090
2380; 2269; 207; 504; 2491; 2473; 2491; 2312; 2417; 2482
2333; 1660; 247; 606; 2457; 1991; 2438; 1817; 2386; 2003
1698; 1881; 136; 174; 1757; 1958; 1747; 1912; 1728; 1964
1675; 1466; 114; 407; 1722; 1668; 1722; 1561; 1697; 1671
2092; 1236; 449; 647; 2305; 1612; 2367; 1500; 2278; 1600
2449; 731; 232; 500; 2557; 1002; 2580; 921; 2534; 994
3045; 3003; 864; 645; 3514; 3398; 3676; 3294; 3460; 3332
2817; 2349; 550; 1299; 3053; 2976; 3154; 2724; 2975; 2953
3158; 611; 225; 1720; 3275; 1471; 3282; 1061; 3182; 1456
3220; 224; 302; 395; 3360; 433; 3399; 286; 3282; 410
2926; 1; 1061; 2222; 3383; 1138; 3523; 906; 3337; 1099
2694; 2050; 310; 1410; 2856; 2716; 2848; 2391; 2732; 2716
2810; 756; 155; 1309; 2879; 1492; 2879; 1190; 2825; 1492
2718; 1; 248; 721; 2819; 342; 2788; 117; 2764; 358
